open_time,open,high,low,close,volume,macd,signal,hist
2024-05-08,62312.07,63020.22,60888.0,61193.03,26121.19004,-992.33299766454,-1050.435704992425,58.1027073278849
2024-05-09,61193.03,63429.03,60630.0,63074.01,30660.8061,-879.6269869952303,-1016.2739613929859,136.64697439775568
2024-05-10,63074.0,63469.13,60187.12,60799.99,36529.34025,-962.7036226589262,-1005.559893646174,42.856270987247854
2024-05-11,60799.99,61515.0,60487.09,60825.99,13374.56936,-1014.7470993452007,-1007.3973347859794,-7.349764559221285
2024-05-12,60825.99,61888.0,60610.0,61483.99,12753.13236,-991.4678050185466,-1004.2114288324929,12.743623813946215
2024-05-13,61484.0,63450.0,60749.21,62940.08,32733.41839,-845.7749356171043,-972.5241301894152,126.7491945723109
2024-05-14,62940.09,63118.36,61142.77,61577.49,29088.72041,-830.6862779878647,-944.1565597491051,113.47028176124036
2024-05-15,61577.49,66444.16,61319.47,66206.5,43559.74719,-440.13241485397884,-843.3517307700799,403.2193159161011
2024-05-16,66206.51,66752.01,64602.77,65235.21,31106.3671,-206.60899029206485,-716.0031826744769,509.39419238241203
2024-05-17,65235.21,67451.2,65106.38,67024.0,26292.23409,121.40097470992623,-548.5223511975963,669.9233259075226
2024-05-18,67024.0,67400.01,66600.0,66915.2,14441.25774,368.32614985723194,-365.15265098663065,733.4788008438626
2024-05-19,66915.2,67700.0,65857.25,66274.01,18025.30409,506.4395360853814,-190.83421357222824,697.2737496576096
2024-05-20,66274.0,71515.56,66060.31,71446.62,50816.7011,1021.5064963942132,51.633928421060034,969.8725679731531
2024-05-21,71446.62,71979.0,69162.94,70148.34,49607.4336,1309.8413912641627,303.2754209896806,1006.5659702744821
2024-05-22,70148.34,70666.0,68842.19,69166.62,27673.18026,1442.5039853501512,531.1211338617748,911.3828514883764
2024-05-23,69166.62,70096.12,66312.16,67969.65,40513.17374,1434.5183370089653,711.800574491213,722.7177625177524
2024-05-24,67969.66,69250.0,66600.12,68549.99,28095.83664,1458.2089163768687,861.0822428683441,597.1266735085246
2024-05-25,68549.99,69610.0,68500.0,69290.57,12130.39418,1519.2297530169599,992.7117448980673,526.5180081188926
2024-05-26,69290.56,69562.23,68128.01,68507.67,11872.11797,1487.271379979793,1091.6236719144126,395.64770806538036
2024-05-27,68507.67,70687.56,68250.0,69436.43,23136.92737,1519.3729238397937,1177.173522299489,342.19940154030473
2024-05-28,69436.43,69591.81,67277.91,68398.39,32622.97042,1444.402305224823,1230.6192788845558,213.78302634026727
2024-05-29,68398.4,68935.68,67124.65,67652.42,23159.83149,1309.6966375894408,1246.4347506255328,63.261886963907955
2024-05-30,67652.41,69500.0,67128.0,68352.17,28478.2184,1245.0532041133993,1246.1584413231062,-1.1052372097069565
2024-05-31,68352.17,69044.1,66670.0,67540.01,26690.32184,1115.4303066137945,1220.012814381244,-104.58250776744944
2024-06-01,67540.01,67900.0,67428.44,67766.85,8837.66133,1019.2579475287639,1179.861841010748,-160.6038934819842
2024-06-02,67766.84,68460.0,67257.47,67765.63,15426.32529,932.1964360230631,1130.3287600132112,-198.13232399014805
2024-06-03,67765.62,70288.0,67612.48,68809.9,29633.374,936.6661186209094,1091.596231734751,-154.93011311384157
2024-06-04,68809.89,71063.45,68567.32,70537.84,29619.78489,1067.3351164554479,1086.7440086788904,-19.408892223442535
2024-06-05,70537.83,71758.0,70383.66,71108.0,28703.18082,1203.0305977622047,1110.0013264955533,93.02927126665145
2024-06-06,71108.0,71700.0,70117.64,70799.06,21842.00449,1270.9901845665154,1142.1990981097456,128.7910864567698
2024-06-07,70799.06,71997.02,68420.0,69355.6,35598.45045,1194.6028501873661,1152.6798485252698,41.92300166209634
2024-06-08,69355.6,69582.2,69168.02,69310.46,9773.82967,1117.5406041616807,1145.651999652552,-28.111395490871246
2024-06-09,69310.46,69857.14,69130.24,69648.14,9890.56709,1071.3661310172029,1130.7948259254822,-59.42869490827934
2024-06-10,69648.15,70195.94,69172.29,69540.0,17122.66941,1014.353696148828,1107.5065999701515,-93.15290382132343
2024-06-11,69540.0,69590.01,66051.0,67314.24,41436.01588,780.5727435180597,1042.119828679733,-261.5470851616733
2024-06-12,67314.23,69999.0,66905.0,68263.99,37175.32356,664.2791453769314,966.5516920191727,-302.2725466422413
2024-06-13,68263.98,68449.3,66251.78,66773.01,29079.55571,446.6572192506719,862.5727974654726,-415.9155782148007
2024-06-14,66773.01,67370.24,65078.0,66043.99,28408.18797,212.9101578212576,732.6402695366297,-519.7301117153721
2024-06-15,66043.99,66478.48,65857.1,66228.25,11451.80242,42.04747256664268,594.5217101426324,-552.4742375759897
2024-06-16,66228.25,66998.7,66034.5,66676.87,9392.52223,-56.511126679193694,464.3151427782672,-520.826269457461
2024-06-17,66676.86,67298.81,65130.0,66504.33,27386.16851,-146.8492756418418,342.0822590942454,-488.9315347360872
2024-06-18,66504.33,66588.23,64060.0,65175.32,42350.10244,-321.97142339727725,209.2715225959409,-531.2429459932182
2024-06-19,65175.32,65727.54,64666.0,64974.37,20060.79576,-471.5363947339065,73.10993912997142,-544.6463338638779
2024-06-20,64974.37,66482.94,64559.15,64869.99,24265.29031,-591.6699033909827,-59.8460293742194,-531.8238740167633
