open_time,open,high,low,close,volume,macd,signal,hist
2019-06-10,7627.57,9333.0,7511.0,8953.33,274072.058371,934.023246757466,425.8153286858868,508.20791807157923
2019-06-17,8953.0,11392.64,8950.0,10906.07,378253.003065,1177.2217349739794,576.0966099435053,601.1251250304741
2019-06-24,10905.95,13970.0,10525.1,10854.1,684152.508772,1350.2004737763882,730.9173827100819,619.2830910663063
2019-07-01,10854.1,12000.0,9727.0,11406.24,517740.071693,1514.3835828235588,887.6106227327773,626.7729600907815
2019-07-08,11410.0,13147.08,10103.0,10174.18,510462.035678,1527.4751516460028,1015.5835285154224,511.89162313058046
2019-07-15,10174.18,11100.0,9060.0,10589.45,487080.97263,1553.4519061177634,1123.1572040358906,430.29470208187286
2019-07-22,10590.15,10683.16,9165.0,9541.54,269819.325109,1472.5069484404503,1193.0271529168026,279.4797955236477
2019-07-29,9541.54,11040.0,9395.0,10929.23,259518.806019,1503.0067457195864,1255.0230714773595,247.98367424222693
2019-08-05,10929.99,12330.7,10927.8,11549.97,371072.857661,1559.2920370839292,1315.8768645986736,243.41517248525565
2019-08-12,11539.08,11577.89,9750.0,10306.78,248273.374665,1486.4486381576007,1349.9912193104592,136.45741884714153
2019-08-19,10306.17,10949.96,9762.0,10142.69,232472.053331,1399.348212922925,1359.8626180329525,39.48559488997262
2019-08-26,10142.69,10604.0,9320.0,9724.98,211243.550288,1281.8385553980625,1344.2578055059746,-62.41925010791215
2019-09-02,9723.59,10905.87,9712.5,10381.18,281075.664908,1227.5111763640725,1320.9084796775942,-93.39730331352166
2019-09-09,10381.24,10480.0,9880.0,10302.01,207165.654458,1164.642703601101,1289.6553244622955,-125.01262086119459
2019-09-16,10303.34,10355.0,9653.0,10028.87,188644.199623,1080.3255502557404,1247.7893696209846,-167.46381936524426
2019-09-23,10028.05,10049.99,7750.0,8043.82,364560.064744,843.6021332443524,1166.9519223456582,-323.34978910130576
2019-09-30,8043.04,8500.0,7710.0,7854.25,239136.795399,633.3989759477463,1060.2413330660759,-426.8423571183296
2019-10-07,7855.3,8779.51,7762.0,8275.01,281416.738734,495.0565709324819,947.2043806393572,-452.14780970687525
2019-10-14,8275.24,8403.0,7816.01,8223.35,219241.792311,376.90595081018,833.1446946735217,-456.2387438633417
2019-10-21,8223.35,10370.0,7300.0,9529.93,508882.693756,384.27118061965666,743.3699918627487,-359.0988112430921
2019-10-28,9528.23,9902.1,8913.0,9194.71,354362.744327,358.9213044804201,666.480254386283,-307.55894990586296
2019-11-04,9196.46,9513.68,8696.0,9039.47,294282.771612,322.5862014712675,597.70144380328,-275.1152423320125
2019-11-11,9040.16,9072.32,8350.68,8502.4,239532.02348,247.59914126214426,527.6809832950528,-280.0818420329085
2019-11-18,8502.87,8503.52,6790.0,6903.28,422402.004703,58.46182467366452,433.8371515707751,-375.3753268971106
2019-11-25,6900.23,7850.0,6515.0,7390.89,503259.064291,-51.49125042755077,336.77147117110997,-388.26272159866073
2019-12-02,7391.5,7750.0,7067.0,7510.11,331484.783716,-127.53959986095288,243.90925696469742,-371.4488568256503
2019-12-09,7510.11,7650.0,7008.35,7118.59,252294.980408,-216.90056195423495,151.74729318091096,-368.6478551351459
2019-12-16,7119.6,7518.54,6435.0,7501.44,339611.461697,-253.90016972584635,70.6178005995595,-324.5179703254058
2019-12-23,7500.71,7695.38,7076.42,7388.24,267312.086935,-289.0252166155615,-1.3108028434646997,-287.7144137720968
2019-12-30,7388.43,7495.0,6871.04,7358.75,241051.798444,-315.603584217296,-64.16935911823096,-251.43422509906503
2020-01-06,7357.64,8455.0,7346.76,8184.98,498017.846898,-266.920384085126,-104.71956411160997,-162.20081997351602
2020-01-13,8184.97,9198.98,8055.89,8701.7,468235.627496,-184.51661892077482,-120.67897507344294,-63.837643847331876
2020-01-20,8701.72,8818.0,8238.0,8615.0,250977.001765,-124.76875027154529,-121.49693011306341,-3.271820158481873
2020-01-27,8614.39,9578.0,8535.0,9331.51,362870.208388,-19.37838309312974,-101.07322070907668,81.69483761594694
2020-02-03,9331.59,10166.0,9093.01,10151.75,364995.864834,128.8455043895974,-55.08947568934187,183.93498007893928
2020-02-10,10151.72,10500.0,9638.12,9917.27,427067.585189,224.80204866364693,0.8888291812558933,223.91321948239104
2020-02-17,9910.7,10250.0,9350.0,9936.4,360700.467719,298.94587054600925,60.50023745420657,238.44563309180268
2020-02-24,9936.4,9990.0,8411.0,8531.88,426585.458707,241.58748745616867,96.717687454599,144.86980000156967
2020-03-02,8530.3,9188.0,8000.0,8033.31,379197.13168,154.12348375379952,108.1988467144391,45.92463703936042
2020-03-09,8034.76,8179.31,3782.13,5361.3,1224228.28324,-129.3106329218881,60.69695078717366,-190.00758370906175
2020-03-16,5360.33,6900.0,4442.12,5816.19,1180843.345815,-313.61325273421426,-14.165089917103927,-299.4481628171103
2020-03-23,5816.05,6957.96,5688.0,5881.42,770380.80536,-449.23241922268426,-101.17855577822,-348.05386344446424
2020-03-30,5880.5,7198.0,5857.76,6772.78,664784.299583,-479.2616531470103,-176.79517525197807,-302.4664778950322
2020-04-06,6772.78,7459.69,6739.98,6903.79,582804.771087,-486.8762192911745,-238.81138405981736,-248.06483523135714
2020-04-13,6903.79,7293.08,6468.27,7120.74,501345.258903,-469.9870478167604,-285.046516811206,-184.94053100555442
2020-04-20,7121.4,7738.0,6751.0,7693.1,469098.312947,-405.7404656323415,-309.1853065754331,-96.5551590569084
2020-04-27,7693.1,9460.0,7606.0,8894.16,742165.162104,-254.96994721853844,-298.3422347040542,43.372287485515756
2020-05-04,8894.15,10067.0,8117.0,8722.77,780478.849466,-147.61139350722897,-268.1960664646891,120.58467295746016
2020-05-11,8722.77,9939.0,8200.0,9680.04,721487.837087,14.547033400574946,-211.64744649163632,226.19447989221126
2020-05-18,9681.11,9950.0,8700.0,8720.34,517248.177536,64.87119085369068,-156.34371902257092,221.2149098762616
2020-05-25,8718.14,9740.0,8642.72,9448.27,425528.246167,161.62816674027817,-92.7493418700011,254.37750861027928
2020-06-01,9448.27,10380.0,9266.0,9746.99,427822.495347,259.4225134691951,-22.314970802161866,281.73748427135695
